id	position_raw	position_kk	position_ru	status	source_url	review_notes
386	независимый директор совета директоров АО НК «КТЖ»	«ҚТЖ» ҰК» АҚ директорлар кеңесінің тәуелсіз директоры	независимый директор совета директоров АО НК «КТЖ»	APPROVED	machine:google-translate	Approved by user
387	секретарь Актюбинского областного филиала «Партия «Әділет»	«Әділет партиясы» Ақтөбе облыстық филиалының хатшысы	секретарь Актюбинского областного филиала «Партия «Әділет»	APPROVED	machine:google-translate	Approved by user
388	директор ГКП на ПХВ «Многопрофильная городская больница №3»	«№3 көпсалалы қалалық аурухана» РҚБ мемлекеттік қазыналық кәсіпорнының директоры	директор ГКП на ПХВ «Многопрофильная городская больница №3»	APPROVED	machine:google-translate	Approved by user
389	сооснователь аналитической платформы «Astana open dialogue»	«Астана ашық диалогы» талдамалық платформасының тең құрылтайшысы	сооснователь аналитической платформы «Astana open dialogue»	APPROVED	machine:google-translate	Approved by user
390	директор филиала Академии государственного управления при Президенте Республики Казахстан по Алматинской области	ҚР Президенті жанындағы Қазақстан Республикасы Президенті жанындағы филиалының директоры Алматы облысы	директор филиала Академии государственного управления при Президенте Республики Казахстан по Алматинской области	APPROVED	machine:google-translate	Approved by user
391	председатель «Партии «Әділет»	Әділет партиясының төрағасы	председатель «Партии «Әділет»	APPROVED	machine:google-translate	Approved by user
392	председатель Совета директоров ТОО «AZALA Group» и АО «Жалтырбулак»	AZALA Group ЖШС және «Жалтырбұлақ» АҚ директорлар кеңесінің төрағасы	председатель Совета директоров ТОО «AZALA Group» и АО «Жалтырбулак»	APPROVED	machine:google-translate	Approved by user
393	президент Международного фонда защиты свободы слова «Әділ сөз»	Халықаралық «Әділ сөз» сөз бостандығын қорғау қорының президенті	президент Международного фонда защиты свободы слова «Әділ сөз»	APPROVED	machine:google-translate	Approved by user
394	директор Талдыкорганской городской многопрофильной больницы	Талдықорған қалалық көпсалалы ауруханасының директоры	директор Талдыкорганской городской многопрофильной больницы	APPROVED	machine:google-translate	Approved by user
395	председатель Алматинского городского филиала Жастар Рухы	Алматы қалалық филиалының төрағасы Рухы Жастар	председатель Алматинского городского филиала Жастар Рухы	APPROVED	machine:google-translate	Approved by user
396	ректор Карагандинского национального исследовательского университета им. Е.А. Букетова	Қарағанды ​​ұлттық зерттеу университетінің ректоры. Е.А. Бөкетова	ректор Карагандинского национального исследовательского университета им. Е.А. Букетова	APPROVED	machine:google-translate	Approved by user
397	директор «Асыл – LTD»	«Асыл - LTD» директоры	директор «Асыл – LTD»	APPROVED	machine:google-translate	Approved by user
398	аким Уйгурского района Алматинской области	Алматы облысы Ұйғыр ауданының әкімі	аким Уйгурского района Алматинской области	APPROVED	machine:google-translate	Approved by user
399	директор ТОО «Азия Газкубыры»	«Азия Газкубыры» ЖШС директоры	директор ТОО «Азия Газкубыры»	APPROVED	machine:google-translate	Approved by user
400	директор полного товарищества «Абзал и К»	Азал компаниясының бас серіктестігі	директор полного товарищества «Абзал и К»	APPROVED	machine:google-translate	Approved by user
401	заведующий отделом правоохранительной системы Администрации Президента Республики Казахстан	Head of the Department of Law Enforcement System of the Administration of the President of the Republic of Kazakhstan	заведующий отделом правоохранительной системы Администрации Президента Республики Казахстан	APPROVED	machine:google-translate	Approved by user
402	советник акима Туркестанской области	Adviser to the Akim of the Turkestan Region	советник акима Туркестанской области	APPROVED	machine:google-translate	Approved by user
403	заместитель председателя правления, член правления АО «Жасыл даму»	"Deputy Chairman of the Board, Member of the Board of JSC ""Zhasyl Damu"""	заместитель председателя правления, член правления АО «Жасыл даму»	APPROVED	machine:google-translate	Approved by user
404	руководитель Управления по вопросам молодежной политики Карагандинской области	Head of Қарағанды облысының жастар саясаты мәселелері басқармасы	руководитель Управления по вопросам молодежной политики Карагандинской области	APPROVED	machine:google-translate	Approved by user
405	вице-министр энергетики Республики Казахстан	Қазақстан Республикасы Энергетика вице-министрі	вице-министр энергетики Республики Казахстан	APPROVED	machine:google-translate	Approved by user
406	паралимпиец	Паралимпиадашы	паралимпиец	APPROVED	machine:google-translate	Approved by user
407	вице-министр юстиции Республики Казахстан	Қазақстан Республикасының Әділет вице-министрі	вице-министр юстиции Республики Казахстан	APPROVED	machine:google-translate	Approved by user
408	директор ТОО «GR Kenes»	ГР Кеңес» ЖШС директоры	директор ТОО «GR Kenes»	APPROVED	machine:google-translate	Approved by user
409	внештатный советник Председателя «Партии «Әділет» по предпринимательскому крылу	Әділет партиясы Төрағасының кәсіпкерлік қанат бойынша штаттан тыс кеңесшісі	внештатный советник Председателя «Партии «Әділет» по предпринимательскому крылу	APPROVED	machine:google-translate	Approved by user
410	аким района Жетысу города Алматы	Алматы қаласы Жетісу ауданы әкімінің	аким района Жетысу города Алматы	APPROVED	machine:google-translate	Approved by user
411	соучредитель Благотворительного фонда «Қасиетті жол»	«Қасиетті жол» қайырымдылық қорының тең құрылтайшысы	соучредитель Благотворительного фонда «Қасиетті жол»	APPROVED	machine:google-translate	Approved by user
412	директор КТ «Зенченко и компания»	«Зенченко және компания» КТ директоры	директор КТ «Зенченко и компания»	APPROVED	machine:google-translate	Approved by user
413	генеральный директор ТОО «Alageum Electric»	Alageum Electric ЖШС бас директоры	генеральный директор ТОО «Alageum Electric»	APPROVED	machine:google-translate	Approved by user
414	председатель Молодежного крыла «Жастар Рухы»	«Жастар рухы» Жастар қанатының төрағасы	председатель Молодежного крыла «Жастар Рухы»	APPROVED	machine:google-translate	Approved by user
415	директор РГП на ПХВ «Телерадиокомплекс Президента РК» Управления делами Президента Республики Казахстан	Қазақстан Республикасы Президенті Әкімшілігінің «Қазақстан Республикасы Президентінің Телерадиокешені» РМК жанындағы РМК директоры	директор РГП на ПХВ «Телерадиокомплекс Президента РК» Управления делами Президента Республики Казахстан	APPROVED	machine:google-translate	Approved by user
416	секретарь Жамбылского областного филиала «Партии «Әділет»	"""Әділет партиясы"" Жамбыл облыстық филиалының хатшысы"	секретарь Жамбылского областного филиала «Партии «Әділет»	APPROVED	machine:google-translate	Approved by user
417	первый проректор Казахского Национального медицинского университета имени С.Д.Асфендиярова	С.Д. атындағы Қазақ ұлттық медицина университетінің бірінші проректоры. Асфендияров	первый проректор Казахского Национального медицинского университета имени С.Д.Асфендиярова	APPROVED	machine:google-translate	Approved by user
418	председатель комиссии экономики и бюджета маслихата Павлодарской области	Павлодар облысы мәслихатының Экономика және бюджет комиссиясының төрағасы	председатель комиссии экономики и бюджета маслихата Павлодарской области	APPROVED	machine:google-translate	Approved by user
419	председатель правления-ректор НАО «Актюбинский региональный университет имени К.Жубанова»	Қ.Жұбанов атындағы Ақтөбе өңірлік университеті» КЕАҚ Басқарма Төрағасы-Ректоры	председатель правления-ректор НАО «Актюбинский региональный университет имени К.Жубанова»	APPROVED	machine:google-translate	Approved by user
420	председатель межотраслевого совета женского предпринимательства	Халықаралық әйелдер кеңесінің төрағасы. Кәсіпкерлік	председатель межотраслевого совета женского предпринимательства	APPROVED	machine:google-translate	Approved by user
421	первый заместитель руководителя Администрации Президента Республики Казахстан	Қазақстан Республикасы Президенті Әкімшілігі Басшысының бірінші орынбасары	первый заместитель руководителя Администрации Президента Республики Казахстан	APPROVED	machine:google-translate	Approved by user
422	внештатный советник Председателя «Партии «Әділет» по вопросам образования	Әділет партиясы Төрағасының білім беру мәселелері жөніндегі штаттан тыс кеңесшісі	внештатный советник Председателя «Партии «Әділет» по вопросам образования	APPROVED	machine:google-translate	Approved by user
423	внештатный советник Председателя «Партии «Әділет» по проектам	Әділет партиясы Төрағасының жобалар бойынша штаттан тыс кеңесшісі	внештатный советник Председателя «Партии «Әділет» по проектам	APPROVED	machine:google-translate	Approved by user
424	пенсионер	Зейнеткер	пенсионер	APPROVED	machine:google-translate	Approved by user
425	президент ОО «Международный фонд казахского языка»	«Халықаралық қазақ тілі қоры» үкіметтік емес ұйымының президенті	президент ОО «Международный фонд казахского языка»	APPROVED	machine:google-translate	Approved by user
426	генеральный директор ТОО «Retail Stores Kazakhstan», президент БОФ «Mobil Plus Komek»	«Retail Stores Kazakhstan» ЖШС бас директоры, «Mobil Plus Көмек» қайырымдылық қорының президенті	генеральный директор ТОО «Retail Stores Kazakhstan», президент БОФ «Mobil Plus Komek»	APPROVED	machine:google-translate	Approved by user
427	директор средней школы № 7 города Аркалык	қаладағы №427 мектеп. Арқалық қ	директор средней школы № 7 города Аркалык	APPROVED	machine:google-translate	Approved by user
428	директор ОФ «Информационно-ресурсный центр»	«Ақпараттық-ресурстық орталығы» ҚҚ директоры	директор ОФ «Информационно-ресурсный центр»	APPROVED	machine:google-translate	Approved by user
429	вице-президент АО «Петро Казахстан Құмкөл»	Петро Қазақстан Құмкөл» АҚ вице-президенті	вице-президент АО «Петро Казахстан Құмкөл»	APPROVED	machine:google-translate	Approved by user
430	заместитель директора «Қоғамдық келісім»	Қоғамдық Келісім директорының орынбасары	заместитель директора «Қоғамдық келісім»	APPROVED	machine:google-translate	Approved by user
431	председатель правления группы компаний «Универсал»	Әмбебап компаниялар тобының басқарма төрағасы	председатель правления группы компаний «Универсал»	APPROVED	machine:google-translate	Approved by user
432	директор «КБТО», руководитель филиала ТОО «Корпорация Казахмыс»	ҚБТО директоры, «Қазақмыс корпорациясы» ЖШС филиалының басшысы	директор «КБТО», руководитель филиала ТОО «Корпорация Казахмыс»	APPROVED	machine:google-translate	Approved by user
433	генеральный директор ТОО «Қазақ газеттері»	«Қазақ газеттері» ЖШС бас директоры	генеральный директор ТОО «Қазақ газеттері»	APPROVED	machine:google-translate	Approved by user
434	секретарь областного филиала «Партия «Әділет» области Ұлытау	"""Secretarty""-ның аймақтық филиалы. Ұлытау облысы"	секретарь областного филиала «Партия «Әділет» области Ұлытау	APPROVED	machine:google-translate	Approved by user
435	руководитель Атырауского областного филиала МК «Жастар Рухы»	«Жастар рухы» МК Атырау облыстық филиалының басшысы	руководитель Атырауского областного филиала МК «Жастар Рухы»	APPROVED	machine:google-translate	Approved by user
436	председатель Совета директоров АО «Группа компаний «Аллюр»	«Аллур» компаниялар тобы» АҚ Директорлар кеңесінің төрағасы	председатель Совета директоров АО «Группа компаний «Аллюр»	APPROVED	machine:google-translate	Approved by user
437	председатель Совета директоров АО «Алтын»	Алтын» АҚ Директорлар кеңесінің төрағасы	председатель Совета директоров АО «Алтын»	APPROVED	machine:google-translate	Approved by user
438	ведущий РГП на ПХВ «Телерадиокомплекс Президента Республики Казахстан Управления делами Президента Республики Казахстан»	Қазақстан Республикасы Президенті Әкімшілігінің Телерадиокешені» РМК-ның жетекші РМК Қазақстан»	ведущий РГП на ПХВ «Телерадиокомплекс Президента Республики Казахстан Управления делами Президента Республики Казахстан»	APPROVED	machine:google-translate	Approved by user
439	менеджер ТОО «ДЦР Funny School»	«ДКР» Көңілділер мектебі» ЖШС менеджері	менеджер ТОО «ДЦР Funny School»	APPROVED	machine:google-translate	Approved by user
440	секретарь Восточно-Казахстанского областного филиала партии «Әділет»	«Әділет» партиясы Шығыс Қазақстан облыстық филиалының хатшысы	секретарь Восточно-Казахстанского областного филиала партии «Әділет»	APPROVED	machine:google-translate	Approved by user
441	председатель правления АО «Казахтелеком»	Қазақтелеком АҚ Басқарма Төрағасы	председатель правления АО «Казахтелеком»	APPROVED	machine:google-translate	Approved by user
442	председатель наблюдательного совета ТОО «Интегра Констракшн КЗ», президент Федерации бокса Казахстана, член Совета менеджеров ERG	Integra Construction KZ ЖШС бақылау кеңесінің төрағасы, Қазақстан бокс федерациясының президенті, ERG менеджерлер кеңесінің мүшесі	председатель наблюдательного совета ТОО «Интегра Констракшн КЗ», президент Федерации бокса Казахстана, член Совета менеджеров ERG	APPROVED	machine:google-translate	Approved by user
443	учредитель ТОО «КазКонстракшн Групп»	KazConstruction Group ЖШС құрылтайшысы	учредитель ТОО «КазКонстракшн Групп»	APPROVED	machine:google-translate	Approved by user
444	аким Теректинского района Западно-Казахстанской области	Батыс Қазақстан облысы Теректі ауданының әкімі	аким Теректинского района Западно-Казахстанской области	APPROVED	machine:google-translate	Approved by user
445	заведующий сектором Канцелярии Президента Республики Казахстан	Қазақстан Республикасы Президенті Іс басқармасының сектор меңгерушісі	заведующий сектором Канцелярии Президента Республики Казахстан	APPROVED	machine:google-translate	Approved by user
446	директор Палаты предпринимателей Акмолинской области	Ақмола облысы Кәсіпкерлер палатасының директоры	директор Палаты предпринимателей Акмолинской области	APPROVED	machine:google-translate	Approved by user
447	председатель республиканской палаты адвокатов	Республикалық заңгерлер палатасының төрағасы	председатель республиканской палаты адвокатов	APPROVED	machine:google-translate	Approved by user
448	директор ТОО «Барыс 2007»	«Барыс 2007» ЖШС директоры	директор ТОО «Барыс 2007»	APPROVED	machine:google-translate	Approved by user
449	председатель маслихата города Шымкент	Шымкент қаласы мәслихатының төрағасы	председатель маслихата города Шымкент	APPROVED	machine:google-translate	Approved by user
450	директор научно-исследовательского центра «Молодежь»	«Жастар» ғылыми-зерттеу орталығының директоры	директор научно-исследовательского центра «Молодежь»	APPROVED	machine:google-translate	Approved by user
451	председатель наблюдательного совета ТОО «РСИТА АЗИЯ»	RSITA ASIA ЖШС Қадағалау кеңесінің төрағасы	председатель наблюдательного совета ТОО «РСИТА АЗИЯ»	APPROVED	machine:google-translate	Approved by user
452	заместитель акима Восточно-Казахстанской области	Шығыс Қазақстан облысы әкімінің орынбасары	заместитель акима Восточно-Казахстанской области	APPROVED	machine:google-translate	Approved by user
453	директор ТОО «Salem Turkestan»	Сәлем Түркістан» ЖШС директоры	директор ТОО «Salem Turkestan»	APPROVED	machine:google-translate	Approved by user
454	директор «ЭкоМангистау»	ЭкоМаңғыстау директоры	директор «ЭкоМангистау»	APPROVED	machine:google-translate	Approved by user
455	экс-руководитель Представительства Президента Республики Казахстан в Парламенте	Қазақстан Республикасы Президентінің Парламенттегі Өкілдігінің бұрынғы Басшысы	экс-руководитель Представительства Президента Республики Казахстан в Парламенте	APPROVED	machine:google-translate	Approved by user
456	советник акима Костанайской области	Қостанай облысы әкімінің кеңесшісі	советник акима Костанайской области	APPROVED	machine:google-translate	Approved by user
457	директор КГКП «Костанайский высший колледж автомобильного транспорта»	Қостанай жоғары автомобиль көлігі колледжінің директоры	директор КГКП «Костанайский высший колледж автомобильного транспорта»	APPROVED	machine:google-translate	Approved by user
458	индивидуальный предприниматель «Парсегова А.Б.»	Жеке кәсіпкер «Парсегова А.Б.»	индивидуальный предприниматель «Парсегова А.Б.»	APPROVED	machine:google-translate	Approved by user
459	заместитель руководителя службы правового обеспечения «Партии «Әділет»	«Әділет» партиясы Құқықтық қамтамасыз ету қызметі басшысының орынбасары	заместитель руководителя службы правового обеспечения «Партии «Әділет»	APPROVED	machine:google-translate	Approved by user
460	председатель ОО «Узбекский этнокультурный центр города Астаны»	«Астана қаласының өзбек этномәдени орталығы» ҚБ төрағасы	председатель ОО «Узбекский этнокультурный центр города Астаны»	APPROVED	machine:google-translate	Approved by user
461	директор колледжа Технологий	Технология колледжінің директоры	директор колледжа Технологий	APPROVED	machine:google-translate	Approved by user
462	руководитель КГУ «Қоғамдық келісім» Управления общественного развития акимата Костанайской области	Қостанай облысы әкімдігінің әлеуметтік даму басқармасының «Қоғамдық келісім» КММ басшысы	руководитель КГУ «Қоғамдық келісім» Управления общественного развития акимата Костанайской области	APPROVED	machine:google-translate	Approved by user
463	председатель маслихата района Магжана Жумабаева Северо-Казахстанской области	Солтүстік Қазақстан облысы Мағжан Жұмабаев ауданы мәслихатының төрағасы	председатель маслихата района Магжана Жумабаева Северо-Казахстанской области	APPROVED	machine:google-translate	Approved by user
464	директор Общественного Фонда «Национальный фонд поддержки спорта «Дала Қырандары»	«Дала қырандары» спортты қолдау ұлттық қоры» қоғамдық қорының директоры	директор Общественного Фонда «Национальный фонд поддержки спорта «Дала Қырандары»	APPROVED	machine:google-translate	Approved by user
465	директор Института Сорбонна-Казахстан	Сорбонна институтының директоры	директор Института Сорбонна-Казахстан	APPROVED	machine:google-translate	Approved by user
466	заместитель секретаря Карагандинского областного филиала «Партия «Әділет»	"""Әділет партиясы"" Қарағанды ​​облыстық филиалы хатшысының орынбасары"	заместитель секретаря Карагандинского областного филиала «Партия «Әділет»	APPROVED	machine:google-translate	Approved by user
467	председатель правления АО «Автобусный парк 1»	«1-автобус паркі» АҚ басқарма төрағасы	председатель правления АО «Автобусный парк 1»	APPROVED	machine:google-translate	Approved by user
468	главный консультант Қазақстан Халық Кеңесі	Қазақстан Халық Кеңесі Бас консультанты	главный консультант Қазақстан Халық Кеңесі	APPROVED	machine:google-translate	Approved by user
469	управляющий директор АО «Национальные информационные технологии»	Ұлттық ақпараттық технологиялар АҚ басқарушы директоры	управляющий директор АО «Национальные информационные технологии»	APPROVED	machine:google-translate	Approved by user
470	директор КГП на ПХВ «Атырауский областной онкологический диспансер»	Атырау облыстық онкологиялық диспансері мемлекеттік кәсіпорнының директоры	директор КГП на ПХВ «Атырауский областной онкологический диспансер»	APPROVED	machine:google-translate	Approved by user
471	директор PR департамента «Қазатомпром өнеркәсіп»	«Қазатомөнеркәсіп Өнеркәсіп» PR департаментінің директоры	директор PR департамента «Қазатомпром өнеркәсіп»	APPROVED	machine:google-translate	Approved by user
472	заместитель директора департамента «Қаражанбасмұнай»	«Қаражанбасмұнай» департаменті директорының орынбасары	заместитель директора департамента «Қаражанбасмұнай»	APPROVED	machine:google-translate	Approved by user
473	индивидуальный предприниматель «Семидоцкая»	жеке кәсіпкер «Семидоцкая»	индивидуальный предприниматель «Семидоцкая»	APPROVED	machine:google-translate	Approved by user
474	председатель ОО «Қазақ табиғат қорғау»	«Қазақ Табиғат Қорғау» ҚБ төрағасы	председатель ОО «Қазақ табиғат қорғау»	APPROVED	machine:google-translate	Approved by user
475	директор Литературно-мемориального музея им. Ф.М. Достоевского	әдеби-мемориалдық музейінің директоры. Ф.М. Достоевский	директор Литературно-мемориального музея им. Ф.М. Достоевского	APPROVED	machine:google-translate	Approved by user
476	региональный уполномоченный по правам ребенка в области Абай, руководитель ОЮЛ «Гражданский Альянс» области Абай	Абай облысы бойынша Балалардың құқықтарын қорғау жөніндегі облыстық уәкілі, Абай ауданы бойынша «Азаматтық альянс» ММ басшысы	региональный уполномоченный по правам ребенка в области Абай, руководитель ОЮЛ «Гражданский Альянс» области Абай	APPROVED	machine:google-translate	Approved by user
477	директор Общественного Фонда «Павлодарский штаб студенческих строительных и молодежных отрядов «Жасыл Ел»	«Жасыл ел» студенттік құрылыс және жастар жасақтарының Павлодар штабы» қоғамдық қорының директоры	директор Общественного Фонда «Павлодарский штаб студенческих строительных и молодежных отрядов «Жасыл Ел»	APPROVED	machine:google-translate	Approved by user
478	ведущий инженер ТОО «Корпорация Казахмыс»	Қазақмыс Корпорациясы ЖШС жетекші инженері	ведущий инженер ТОО «Корпорация Казахмыс»	APPROVED	machine:google-translate	Approved by user
479	Министр образования и просвещения	Білім және ағарту министрі	Министр образования и просвещения	APPROVED	machine:google-translate	Approved by user
480	председатель Общественного объединения «Ұлттық рух»	"""Ұлттық рух"" қоғамдық бірлестігінің төрағасы"	председатель Общественного объединения «Ұлттық рух»	APPROVED	machine:google-translate	Approved by user
481	генеральный директор «ТОО ТРК «Тандым»	ТРК «Тандым» ЖШС бас директоры	генеральный директор «ТОО ТРК «Тандым»	APPROVED	machine:google-translate	Approved by user
482	председатель Улытауского областного филиала МОО «Жастар Рухы»	«Жастар рухы» коммуналдық қоғамдық ұйымының Ұлытау аудандық филиалының төрағасы	председатель Улытауского областного филиала МОО «Жастар Рухы»	APPROVED	machine:google-translate	Approved by user
483	заместитель акима Жамбылской области	Жамбыл облысы әкімінің орынбасары	заместитель акима Жамбылской области	APPROVED	machine:google-translate	Approved by user
484	генеральный директор Медиахолдинга Uni-Q Group	Uni-Q Group медиахолдингінің бас директоры	генеральный директор Медиахолдинга Uni-Q Group	APPROVED	machine:google-translate	Approved by user
485	ректор META University	META университетінің ректоры	ректор META University	APPROVED	machine:google-translate	Approved by user
486	телеведущая РТРК «Qazaqstan»	"""Qazaqstan"" РТРК тележүргізушісі"	телеведущая РТРК «Qazaqstan»	APPROVED	machine:google-translate	Approved by user
487	аким Кегенского района области Жетісу	Жетісу облысы Кеген ауданының әкімі	аким Кегенского района области Жетісу	APPROVED	machine:google-translate	Approved by user
488	председатель маслихата Павлодарской области	Павлодар облысы мәслихатының төрағасы	председатель маслихата Павлодарской области	APPROVED	machine:google-translate	Approved by user
489	учредитель ТОО «Жайык-Таза қала»	Жайық-Таза қала» ЖШС құрылтайшысы	учредитель ТОО «Жайык-Таза қала»	APPROVED	machine:google-translate	Approved by user
490	председатель маслихата области Жетісу	Жетісу аудандық мәслихатының төрағасы	председатель маслихата области Жетісу	APPROVED	machine:google-translate	Approved by user
491	ведущий и продюсер интерактивного проекта АО РТРК «Qazaqstan», «Жедел желі»	«Qazaqstan» РТРК» АҚ интерактивті жобасының жүргізушісі және продюсері, «Жедел желі»	ведущий и продюсер интерактивного проекта АО РТРК «Qazaqstan», «Жедел желі»	APPROVED	machine:google-translate	Approved by user
492	директор ТОО «Муниципальное телевидение»	Қалалық телевидение» ЖШС директоры	директор ТОО «Муниципальное телевидение»	APPROVED	machine:google-translate	Approved by user
493	председатель Туркестанского областного филиала «Партия «Әділет»	«Әділет партиясы» Түркістан облыстық филиалының төрағасы	председатель Туркестанского областного филиала «Партия «Әділет»	APPROVED	machine:google-translate	Approved by user
494	главный специалист по внутреннему контролю Департамента риск-менеджмента ТОО «Корпорация Казахмыс»	Қазақмыс корпорациясы» ЖШС Тәуекелдерді басқару бөлімінің ішкі бақылау бөлімінің бас маманы	главный специалист по внутреннему контролю Департамента риск-менеджмента ТОО «Корпорация Казахмыс»	APPROVED	machine:google-translate	Approved by user
495	заместитель председателя «Партия «Әділет»	«Әділет партиясы» төрағасының орынбасары	заместитель председателя «Партия «Әділет»	APPROVED	machine:google-translate	Approved by user
496	секретарь Северо-Казахстанского областного филиала «Партия «Әділет»	"""Әділет партиясы"" Солтүстік Қазақстан облыстық филиалының хатшысы"	секретарь Северо-Казахстанского областного филиала «Партия «Әділет»	APPROVED	machine:google-translate	Approved by user
497	заместитель акима Мангистауской области	Маңғыстау облысы әкімінің орынбасары	заместитель акима Мангистауской области	APPROVED	machine:google-translate	Approved by user
498	заместитель директора РГП «Қоғамдык келісім», КМО МКИ РК	ҚР МКИ ҚМО «Қоғамдық Келісім» РМК директорының орынбасары	заместитель директора РГП «Қоғамдык келісім», КМО МКИ РК	APPROVED	machine:google-translate	Approved by user
499	директор Института языкознания имени А.Байтурсынулы	А.Байтұрсынұлы атындағы Тіл білімі институтының директоры	директор Института языкознания имени А.Байтурсынулы	APPROVED	machine:google-translate	Approved by user
500	генеральный директор ТОО «Сенчури Интегрейшн»	Century Integration LLP бас директорыp	генеральный директор ТОО «Сенчури Интегрейшн»	APPROVED	machine:google-translate	Approved by user
501	председатель маслихата Атырауский области	Атырау облыстық мәслихатының төрағасы	председатель маслихата Атырауский области	APPROVED	machine:google-translate	Approved by user
502	председатель постоянной комиссии Атырауского областного маслихата по вопросам экологии и природопользования	Атырау облыстық мәслихатының экология және табиғи ресурстар жөніндегі тұрақты комиссиясының төрағасы	председатель постоянной комиссии Атырауского областного маслихата по вопросам экологии и природопользования	APPROVED	machine:google-translate	Approved by user
503	региональный руководитель по городу Кокшетау МОО «Дала Қырандары»	Көкшетау қаласы бойынша аймақ басшысы, «Дала қырандары» коммуналдық қоғамдық ұйымы	региональный руководитель по городу Кокшетау МОО «Дала Қырандары»	APPROVED	machine:google-translate	Approved by user
504	председатель правления Общественного фонда «Қазақстан халқына»	«Қазақстан халқына» қоғамдық қорының басқарма төрағасы	председатель правления Общественного фонда «Қазақстан халқына»	APPROVED	machine:google-translate	Approved by user
505	директор «ТАН ЛТД»	«ТАН>ЛТД» ЖШС директоры	директор «ТАН ЛТД»	APPROVED	machine:google-translate	Approved by user
506	председатель постоянной комиссии по здравоохранению, образованию и занятости маслихата города Алматы	Алматы қаласы мәслихатының денсаулық сақтау, білім және жұмыспен қамту мәселелері жөніндегі тұрақты комиссиясының төрағасы	председатель постоянной комиссии по здравоохранению, образованию и занятости маслихата города Алматы	APPROVED	machine:google-translate	Approved by user
507	заместитель акима Кызылординской области	Қызылорда облысы әкімінің орынбасары	заместитель акима Кызылординской области	APPROVED	machine:google-translate	Approved by user
508	заместитель директора ОФ «Международный институт»	«Халықаралық институт» ҚҚ директорының орынбасары	заместитель директора ОФ «Международный институт»	APPROVED	machine:google-translate	Approved by user
509	заместитель Генерального директора ТОО «АЛАСЕМ»	ALASEM ЖШС бас директорының орынбасары	заместитель Генерального директора ТОО «АЛАСЕМ»	APPROVED	machine:google-translate	Approved by user
